ID,Precision,Recall,Accuracy
0,0.5833333333333334,0.6363636363636364,0.9
1,0.5454545454545454,0.5454545454545454,0.8888888888888888
2,0.5384615384615384,0.6363636363636364,0.8888888888888888
3,0.6,0.5454545454545454,0.9
4,0.6,0.5454545454545454,0.9
5,0.6,0.5454545454545454,0.9
6,0.5384615384615384,0.6363636363636364,0.8888888888888888
7,0.5384615384615384,0.6363636363636364,0.8888888888888888
8,0.6666666666666666,0.5454545454545454,0.9111111111111111
avg,0.5789821289821291,0.585858585858586,0.8962962962962965
