Search time,0
Network,Dynamics Accuracy
RBN7,0.8333333333333334
RBN6,0.8333333333333334
RBN8,0.8333333333333334
RBN10,0.8333333333333334
RBN9,0.8333333333333334
RBN2,0.8333333333333334
RBN1,0.8333333333333334
RBN3,0.8333333333333334
RBN5,0.8333333333333334
RBN4,0.8333333333333334
RBN17,0.8333333333333334
RBN16,0.8333333333333334
RBN18,0.8333333333333334
RBN20,0.8333333333333334
RBN19,0.8333333333333334
RBN12,0.8333333333333334
RBN11,0.8333333333333334
RBN13,0.8333333333333334
RBN15,0.8333333333333334
RBN14,0.8333333333333334
